wall_t,ref,other,dx,dy,dz,range_m,dyaw_deg
19.200,robot1,robot2,-19.4329,-0.9110,1.2318,19.4932,88.15
19.300,robot1,robot2,-19.2654,0.0163,1.3639,19.3136,85.28
19.400,robot1,robot2,-19.2654,0.0163,1.3639,19.3136,85.28
19.500,robot1,robot2,-19.2654,0.0163,1.3639,19.3136,85.28
19.600,robot1,robot2,-19.2654,0.0163,1.3639,19.3136,85.28
19.700,robot1,robot2,-19.2654,0.0163,1.3639,19.3136,85.28
19.800,robot1,robot2,-19.2654,0.0163,1.3639,19.3136,85.28
19.900,robot1,robot2,-19.0730,-0.0177,1.6033,19.1403,87.26
20.000,robot1,robot2,-19.0730,-0.0177,1.6033,19.1403,87.26
20.100,robot1,robot2,-19.0730,-0.0177,1.6033,19.1403,87.26
20.200,robot1,robot2,-19.0730,-0.0177,1.6033,19.1403,87.26
20.300,robot1,robot2,-19.0730,-0.0177,1.6033,19.1403,87.26
20.400,robot1,robot2,-19.0730,-0.0177,1.6033,19.1403,87.26
20.500,robot1,robot2,-18.8698,-0.0004,1.6499,18.9418,87.58
20.600,robot1,robot2,-18.8698,-0.0004,1.6499,18.9418,87.58
20.700,robot1,robot2,-18.8698,-0.0004,1.6499,18.9418,87.58
20.800,robot1,robot2,-18.8698,-0.0004,1.6499,18.9418,87.58
20.900,robot1,robot2,-18.8698,-0.0004,1.6499,18.9418,87.58
21.000,robot1,robot2,-18.8698,-0.0004,1.6499,18.9418,87.58
21.100,robot1,robot2,-18.6348,-0.2700,1.1805,18.6741,88.30
21.200,robot1,robot2,-18.6348,-0.2700,1.1805,18.6741,88.30
21.300,robot1,robot2,-18.6348,-0.2700,1.1805,18.6741,88.30
21.400,robot1,robot2,-18.6348,-0.2700,1.1805,18.6741,88.30
21.500,robot1,robot2,-18.6348,-0.2700,1.1805,18.6741,88.30
21.600,robot1,robot2,-18.5092,-0.5094,1.3906,18.5683,89.23
21.700,robot1,robot2,-18.5092,-0.5094,1.3906,18.5683,89.23
21.800,robot1,robot2,-18.5092,-0.5094,1.3906,18.5683,89.23
21.900,robot1,robot2,-18.5092,-0.5094,1.3906,18.5683,89.23
22.000,robot1,robot2,-18.5092,-0.5094,1.3906,18.5683,89.23
22.100,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.200,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.300,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.400,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.500,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.600,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.700,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.800,robot1,robot2,-18.5619,-0.7171,1.3796,18.6269,90.42
22.900,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.000,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.100,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.200,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
