message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
31,1785497060.105610609,map,8.4032754898,-3.8267571926,-1.3927346468,0.0485717022,0.0582955976,0.8516939452,0.5185169271,0.04302178119 0 0 0 0 0 0 0.04302178119 0 0 0 0 0 0 0.09450516639 0 0 0 0 0 0 0.0007548446649 0 0 0 0 0 0 0.0007548446649 0 0 0 0 0 0 0.001310518398
32,1785497060.205538273,map,8.4041042328,-3.8227016926,-1.3920519352,0.0486777978,0.0583254223,0.8516931997,0.5185048713,0.04290976698 0 0 0 0 0 0 0.04290976698 0 0 0 0 0 0 0.09433911261 0 0 0 0 0 0 0.0007522555866 0 0 0 0 0 0 0.0007522555866 0 0 0 0 0 0 0.00130710625
33,1785497060.305945158,map,8.3989028931,-3.8215291500,-1.3924489021,0.0487848488,0.0582954035,0.8516553021,0.5185604706,0.04287947142 0 0 0 0 0 0 0.04287947142 0 0 0 0 0 0 0.0942941893 0 0 0 0 0 0 0.0007515555245 0 0 0 0 0 0 0.0007515555245 0 0 0 0 0 0 0.001306183395
34,1785497060.405777693,map,8.4023303986,-3.8226308823,-1.3924235106,0.0485928958,0.0584196820,0.8516794783,0.5185247725,0.04286989308 0 0 0 0 0 0 0.04286989308 0 0 0 0 0 0 0.09427998512 0 0 0 0 0 0 0.0007513342069 0 0 0 0 0 0 0.0007513342069 0 0 0 0 0 0 0.001305891622
35,1785497060.505597591,map,8.3960056305,-3.8241236210,-1.3919045925,0.0486651900,0.0585208426,0.8516841039,0.5184990014,0.0429782295 0 0 0 0 0 0 0.0429782295 0 0 0 0 0 0 0.09444061221 0 0 0 0 0 0 0.0007538378907 0 0 0 0 0 0 0.0007538378907 0 0 0 0 0 0 0.001309191738
36,1785497060.605550289,map,8.4169931412,-3.7293996811,-1.3984961510,0.0490579926,0.0581477268,0.8523165310,0.5174636354,0.04327431111 0 0 0 0 0 0 0.04327431111 0 0 0 0 0 0 0.09487926808 0 0 0 0 0 0 0.0007606855223 0 0 0 0 0 0 0.0007606855223 0 0 0 0 0 0 0.001318210899
37,1785497060.705601454,map,8.4099912643,-3.7873146534,-1.3934587240,0.0485793788,0.0580515770,0.8519566818,0.5181118211,0.04286727672 0 0 0 0 0 0 0.04286727672 0 0 0 0 0 0 0.09427610512 0 0 0 0 0 0 0.0007512737547 0 0 0 0 0 0 0.0007512737547 0 0 0 0 0 0 0.001305811923
38,1785497060.806074619,map,8.4073419571,-3.7950718403,-1.3940026760,0.0485889792,0.0581448593,0.8519028117,0.5181890301,0.04282640025 0 0 0 0 0 0 0.04282640025 0 0 0 0 0 0 0.09421548106 0 0 0 0 0 0 0.0007503293591 0 0 0 0 0 0 0.0007503293591 0 0 0 0 0 0 0.001304566754
39,1785497060.905608892,map,8.4072408676,-3.7979094982,-1.3935621977,0.0486403126,0.0582347909,0.8518498575,0.5182611960,0.04271827889 0 0 0 0 0 0 0.04271827889 0 0 0 0 0 0 0.09405508036 0 0 0 0 0 0 0.0007478320541 0 0 0 0 0 0 0.0007478320541 0 0 0 0 0 0 0.001301273189
40,1785497061.005550623,map,8.4029750824,-3.8016452789,-1.3931851387,0.0487564619,0.0583553055,0.8518715712,0.5182010717,0.04299221766 0 0 0 0 0 0 0.04299221766 0 0 0 0 0 0 0.09446134722 0 0 0 0 0 0 0.000754161234 0 0 0 0 0 0 0.000754161234 0 0 0 0 0 0 0.001309617841
